weather_condition,phase_of_flight,aircraft_damage,number_of_engines,fatal_injuries,serious_injuries,minor_injuries,uninjured,emergency_type,severity_score,risk_level,atc_action,response_time_minutes
IMC,Landing,Substantial,2,0,2,2,41,Near Collision,100.0,Critical,Priority Landing,28.1
VMC,Landing,Minor,2,0,0,0,212,Landing Gear Issue,54.0,Medium,Continue Monitoring,14.7
VMC,Taxi,None,2,0,0,2,136,Bird Strike,35.0,Medium,Continue Monitoring,11.8
Fog,Climb,Destroyed,2,0,1,2,150,Cabin Pressure Failure,100.0,Critical,Priority Landing,26.7
VMC,Approach,None,1,0,0,0,241,Landing Gear Issue,38.5,Medium,Continue Monitoring,12.0
VMC,Takeoff,None,3,0,0,1,196,Cabin Pressure Failure,58.0,High,Emergency Descent,18.8
VMC,Climb,Substantial,2,0,0,3,169,Engine Failure,83.5,Critical,Priority Landing,21.0
IMC,Takeoff,Substantial,4,0,0,4,209,Runway Incursion,86.0,Critical,Priority Landing,23.2
Fog,Landing,Destroyed,2,1,1,0,126,Engine Failure,100.0,Critical,Priority Landing,27.8
Windy,Approach,Substantial,2,0,1,3,234,Cabin Pressure Failure,100.0,Critical,Priority Landing,23.9
VMC,Landing,None,2,1,0,1,202,Medical Emergency,50.5,Medium,Continue Monitoring,14.3
IMC,Climb,Substantial,3,0,0,2,244,Cabin Pressure Failure,96.5,Critical,Priority Landing,25.1
IMC,Climb,None,4,1,0,4,146,Bird Strike,64.0,High,Holding Pattern,23.5
Rain,Landing,Minor,2,0,2,3,167,Landing Gear Issue,79.5,High,Runway Change,15.9
VMC,Landing,None,1,0,2,1,125,Engine Failure,68.0,High,Runway Change,14.6
VMC,Taxi,Substantial,2,0,0,0,232,Landing Gear Issue,57.0,High,Runway Change,15.4
IMC,Takeoff,Minor,1,0,2,2,164,Engine Failure,92.5,Critical,Priority Landing,24.1
IMC,Cruise,Substantial,1,0,0,2,56,Fuel Low,85.5,Critical,Priority Landing,28.0
IMC,Takeoff,None,2,1,0,2,137,Cabin Pressure Failure,83.0,Critical,Priority Landing,29.2
IMC,Landing,None,3,0,0,2,50,Cabin Pressure Failure,74.5,High,Emergency Descent,23.0
Fog,Takeoff,None,2,0,0,1,167,Fuel Low,66.5,High,Runway Change,21.4
Rain,Landing,None,1,0,0,0,180,Fuel Low,64.5,High,Runway Change,13.8
VMC,Takeoff,Minor,4,1,0,1,204,Cabin Pressure Failure,77.5,High,Emergency Descent,16.7
Fog,Takeoff,None,1,0,0,0,55,Engine Failure,73.5,High,Runway Change,19.1
Windy,Taxi,Minor,1,0,0,0,126,Bird Strike,58.5,High,Runway Change,13.5
VMC,Cruise,None,2,0,0,3,101,Medical Emergency,32.5,Medium,Continue Monitoring,10.7
IMC,Cruise,None,3,0,0,1,115,Engine Failure,58.0,High,Holding Pattern,20.1
VMC,Approach,Minor,2,0,2,0,236,Engine Failure,72.0,High,Runway Change,16.5
Rain,Climb,None,2,0,2,0,148,Engine Failure,70.0,High,Holding Pattern,17.6
VMC,Landing,None,2,0,1,0,121,Runway Incursion,46.0,Medium,Continue Monitoring,9.4
Rain,Cruise,None,2,0,0,1,228,Engine Failure,59.5,High,Holding Pattern,15.0
VMC,Climb,None,2,0,1,1,142,Bird Strike,44.5,Medium,Continue Monitoring,15.9
IMC,Cruise,Minor,3,0,0,1,117,Runway Incursion,55.0,High,Holding Pattern,21.0
Windy,Takeoff,None,2,0,0,0,144,Medical Emergency,51.0,Medium,Continue Monitoring,15.2
VMC,Climb,None,2,0,0,2,214,Medical Emergency,35.0,Medium,Continue Monitoring,15.4
Windy,Approach,Minor,2,0,0,1,124,Near Collision,85.5,Critical,Priority Landing,18.7
Storm,Takeoff,Minor,1,0,0,2,161,Cabin Pressure Failure,99.5,Critical,Priority Landing,27.3
Windy,Takeoff,Minor,2,1,1,0,61,Medical Emergency,76.0,High,Runway Change,14.8
VMC,Approach,None,1,0,1,1,22,Runway Incursion,44.0,Medium,Continue Monitoring,16.5
Fog,Cruise,Substantial,2,0,0,0,35,Bird Strike,82.0,Critical,Priority Landing,28.2
VMC,Takeoff,None,2,0,1,2,129,Bird Strike,52.0,Medium,Continue Monitoring,12.9
VMC,Landing,None,2,0,0,1,185,Cabin Pressure Failure,61.5,High,Emergency Descent,12.7
Windy,Landing,Substantial,2,1,1,2,68,Runway Incursion,100.0,Critical,Priority Landing,22.8
Rain,Takeoff,Minor,3,0,0,0,236,Landing Gear Issue,63.5,High,Runway Change,11.7
IMC,Climb,Minor,4,0,1,3,54,Near Collision,86.5,Critical,Priority Landing,25.0
VMC,Cruise,Substantial,2,0,1,0,180,Engine Failure,79.0,High,Holding Pattern,22.7
Fog,Landing,None,1,0,0,2,73,Near Collision,85.5,Critical,Priority Landing,23.5
Rain,Takeoff,Substantial,2,1,0,2,33,Bird Strike,100.0,Critical,Priority Landing,21.0
IMC,Landing,Minor,1,0,1,1,183,Runway Incursion,74.0,High,Runway Change,23.2
Windy,Climb,None,2,1,2,0,139,Engine Failure,79.0,High,Holding Pattern,19.1
VMC,Takeoff,None,1,0,0,3,164,Bird Strike,51.0,Medium,Continue Monitoring,13.7
VMC,Taxi,None,4,1,0,0,236,Cabin Pressure Failure,51.0,Medium,Emergency Descent,12.2
Rain,Takeoff,Substantial,1,0,1,2,143,Cabin Pressure Failure,100.0,Critical,Priority Landing,20.3
Storm,Takeoff,None,2,0,1,0,213,Fuel Low,77.0,High,Runway Change,22.8
VMC,Taxi,None,2,1,2,1,133,Medical Emergency,43.5,Medium,Continue Monitoring,9.8
VMC,Approach,Minor,2,0,0,2,100,Near Collision,74.0,High,Go Around,21.1
VMC,Cruise,Minor,2,0,0,1,109,Near Collision,65.5,High,Go Around,17.6
Windy,Landing,None,4,1,0,2,99,Near Collision,86.0,Critical,Priority Landing,23.5
VMC,Approach,Substantial,2,0,1,0,223,Bird Strike,76.0,High,Runway Change,15.5
IMC,Approach,Minor,2,1,0,0,137,Cabin Pressure Failure,89.0,Critical,Priority Landing,25.2
Storm,Takeoff,Substantial,2,0,2,0,234,Bird Strike,100.0,Critical,Priority Landing,23.6
VMC,Approach,None,3,0,1,3,77,Bird Strike,49.0,Medium,Continue Monitoring,10.1
IMC,Climb,None,2,0,0,2,195,Landing Gear Issue,50.0,Medium,Continue Monitoring,20.3
IMC,Landing,Minor,2,0,0,1,46,Engine Failure,83.5,Critical,Priority Landing,24.4
Fog,Approach,None,2,0,0,1,86,Medical Emergency,53.5,Medium,Continue Monitoring,15.1
VMC,Takeoff,Minor,1,0,0,0,27,Medical Emergency,51.5,Medium,Continue Monitoring,15.6
VMC,Taxi,None,1,0,0,2,230,Bird Strike,36.5,Medium,Continue Monitoring,9.0
VMC,Climb,Substantial,1,0,0,1,88,Engine Failure,82.0,Critical,Priority Landing,22.0
Rain,Climb,Substantial,1,0,1,2,208,Bird Strike,90.5,Critical,Priority Landing,24.0
Fog,Taxi,Substantial,2,1,1,3,117,Near Collision,100.0,Critical,Priority Landing,27.2
VMC,Landing,Destroyed,4,0,0,0,48,Cabin Pressure Failure,100.0,Critical,Priority Landing,18.4
VMC,Taxi,Substantial,2,0,0,4,99,Cabin Pressure Failure,81.0,Critical,Priority Landing,21.8
Windy,Approach,None,3,0,0,0,98,Bird Strike,53.5,Medium,Continue Monitoring,14.8
VMC,Taxi,None,2,0,0,1,137,Cabin Pressure Failure,46.5,Medium,Emergency Descent,11.5
VMC,Takeoff,Substantial,2,0,1,3,95,Bird Strike,83.5,Critical,Priority Landing,17.0
IMC,Approach,Substantial,1,1,1,0,175,Fuel Low,100.0,Critical,Priority Landing,22.6
VMC,Climb,Destroyed,2,0,1,2,187,Landing Gear Issue,86.0,Critical,Priority Landing,19.8
VMC,Cruise,Substantial,2,0,1,2,55,Medical Emergency,65.0,High,Holding Pattern,19.8
IMC,Climb,None,2,0,0,2,140,Engine Failure,65.0,High,Holding Pattern,22.0
VMC,Climb,Substantial,4,0,1,1,153,Cabin Pressure Failure,84.5,Critical,Priority Landing,19.9
IMC,Cruise,Substantial,4,0,1,1,81,Bird Strike,80.5,Critical,Priority Landing,24.4
Rain,Taxi,Minor,2,0,2,0,197,Engine Failure,75.0,High,Runway Change,20.6
IMC,Approach,Substantial,2,0,0,1,73,Near Collision,100.0,Critical,Priority Landing,25.3
VMC,Cruise,Minor,1,0,0,0,220,Near Collision,65.5,High,Go Around,17.6
Fog,Cruise,Substantial,1,0,1,1,125,Bird Strike,89.0,Critical,Priority Landing,29.7
VMC,Approach,None,1,0,1,2,104,Near Collision,67.5,High,Go Around,17.1
Fog,Climb,Substantial,2,0,0,2,173,Bird Strike,89.0,Critical,Priority Landing,27.1
VMC,Approach,None,2,0,2,1,162,Cabin Pressure Failure,64.5,High,Emergency Descent,14.4
Fog,Landing,None,2,0,0,0,137,Cabin Pressure Failure,77.0,High,Emergency Descent,18.8
VMC,Climb,None,1,0,2,0,177,Engine Failure,58.5,High,Holding Pattern,15.2
VMC,Approach,Minor,4,1,0,2,80,Near Collision,80.0,Critical,Priority Landing,17.4
IMC,Landing,None,2,0,0,1,206,Cabin Pressure Failure,74.5,High,Emergency Descent,21.0
VMC,Approach,Destroyed,2,1,0,0,162,Medical Emergency,89.0,Critical,Priority Landing,20.7
VMC,Climb,Minor,2,0,0,1,68,Near Collision,69.5,High,Go Around,20.6
Rain,Approach,Substantial,2,0,0,0,249,Runway Incursion,80.0,Critical,Priority Landing,18.8
Fog,Landing,None,2,0,1,0,219,Medical Emergency,61.0,High,Runway Change,19.4
VMC,Climb,None,2,0,1,2,60,Runway Incursion,41.0,Medium,Continue Monitoring,12.4
Windy,Approach,Substantial,4,0,0,2,200,Engine Failure,95.0,Critical,Priority Landing,16.8
Fog,Landing,Minor,2,0,0,1,141,Cabin Pressure Failure,90.5,Critical,Priority Landing,23.2
Windy,Climb,Minor,2,0,0,1,197,Fuel Low,68.5,High,Holding Pattern,17.4
Rain,Cruise,Substantial,1,1,1,1,106,Cabin Pressure Failure,100.0,Critical,Priority Landing,23.7
Rain,Taxi,Substantial,4,1,1,2,76,Cabin Pressure Failure,100.0,Critical,Priority Landing,21.5
IMC,Cruise,Minor,2,0,2,0,70,Runway Incursion,63.0,High,Holding Pattern,19.9
Rain,Approach,Destroyed,2,1,1,3,35,Cabin Pressure Failure,100.0,Critical,Priority Landing,19.8
Windy,Takeoff,Minor,4,0,0,1,221,Engine Failure,78.5,High,Runway Change,17.9
VMC,Taxi,Minor,2,0,1,2,91,Landing Gear Issue,46.0,Medium,Continue Monitoring,12.5
VMC,Approach,None,1,0,0,1,240,Cabin Pressure Failure,58.0,High,Emergency Descent,13.1
VMC,Landing,None,2,0,1,0,71,Engine Failure,61.0,High,Runway Change,16.0
Windy,Approach,None,2,1,2,2,100,Bird Strike,75.0,High,Runway Change,17.1
VMC,Cruise,Substantial,4,0,2,2,222,Engine Failure,83.0,Critical,Priority Landing,19.9
Rain,Cruise,Minor,2,0,1,2,99,Bird Strike,67.0,High,Holding Pattern,19.1
Fog,Landing,None,2,0,0,1,194,Fuel Low,68.5,High,Runway Change,24.1
Storm,Taxi,Minor,2,0,1,2,41,Landing Gear Issue,71.0,High,Runway Change,19.4
VMC,Takeoff,None,2,0,0,1,239,Runway Incursion,41.5,Medium,Continue Monitoring,13.8
Fog,Taxi,None,1,0,0,0,162,Engine Failure,60.5,High,Runway Change,21.6
Windy,Landing,Substantial,4,0,0,0,192,Fuel Low,90.0,Critical,Priority Landing,23.2
VMC,Takeoff,None,1,0,3,0,26,Fuel Low,61.5,High,Runway Change,13.4
Fog,Takeoff,None,4,0,0,0,241,Medical Emergency,52.0,Medium,Continue Monitoring,21.4
VMC,Landing,Minor,2,0,0,1,134,Bird Strike,60.5,High,Runway Change,15.1
Rain,Taxi,None,1,0,0,0,68,Fuel Low,49.5,Medium,Continue Monitoring,12.4
IMC,Cruise,Minor,2,0,0,0,55,Cabin Pressure Failure,73.0,High,Emergency Descent,23.7
VMC,Approach,Destroyed,2,0,0,1,40,Cabin Pressure Failure,100.0,Critical,Priority Landing,23.2
VMC,Taxi,Minor,2,0,1,1,174,Runway Incursion,44.5,Medium,Continue Monitoring,12.1
VMC,Climb,Minor,2,0,2,0,68,Landing Gear Issue,54.0,Medium,Continue Monitoring,16.4
VMC,Climb,None,1,0,0,1,233,Medical Emergency,35.0,Medium,Continue Monitoring,15.9
Rain,Taxi,Minor,1,2,0,2,72,Runway Incursion,74.5,High,Runway Change,16.0
VMC,Climb,None,2,1,1,0,40,Runway Incursion,47.0,Medium,Continue Monitoring,13.4
VMC,Cruise,None,1,0,0,1,216,Fuel Low,41.0,Medium,Continue Monitoring,16.0
Rain,Cruise,Substantial,2,0,2,2,198,Medical Emergency,82.0,Critical,Priority Landing,23.2
Rain,Approach,None,2,0,0,1,139,Near Collision,73.5,High,Go Around,19.4
IMC,Climb,Minor,2,0,0,2,211,Landing Gear Issue,62.0,High,Holding Pattern,20.0
Windy,Landing,None,2,1,1,1,186,Runway Incursion,69.5,High,Runway Change,18.7
VMC,Landing,Substantial,3,0,0,0,60,Runway Incursion,70.5,High,Runway Change,17.7
Fog,Climb,None,3,0,0,2,115,Runway Incursion,52.5,Medium,Continue Monitoring,24.0
VMC,Cruise,None,1,0,0,3,232,Bird Strike,41.0,Medium,Continue Monitoring,11.9
Rain,Takeoff,Substantial,2,0,0,2,175,Bird Strike,91.0,Critical,Priority Landing,20.8
Storm,Climb,Minor,3,0,1,2,162,Landing Gear Issue,76.5,High,Holding Pattern,24.2
Fog,Taxi,Substantial,2,0,0,3,60,Medical Emergency,76.5,High,Runway Change,18.6
IMC,Approach,None,2,0,2,1,143,Bird Strike,64.5,High,Runway Change,18.2
Rain,Approach,Minor,2,0,1,0,58,Fuel Low,74.0,High,Runway Change,19.6
VMC,Taxi,Destroyed,2,0,0,3,174,Medical Emergency,74.5,High,Runway Change,16.5
Rain,Landing,Minor,2,0,0,2,71,Cabin Pressure Failure,88.0,Critical,Priority Landing,18.4
Fog,Landing,Minor,2,0,0,4,86,Bird Strike,82.0,Critical,Priority Landing,24.5
Storm,Landing,None,1,0,2,2,151,Fuel Low,87.5,Critical,Priority Landing,25.7
IMC,Cruise,Substantial,4,0,0,1,25,Medical Emergency,69.5,High,Holding Pattern,25.5
VMC,Approach,Substantial,2,0,1,3,180,Bird Strike,80.5,Critical,Priority Landing,16.9
IMC,Climb,Minor,1,0,0,0,121,Landing Gear Issue,60.5,High,Holding Pattern,21.8
VMC,Taxi,Substantial,2,1,0,0,137,Engine Failure,81.0,Critical,Priority Landing,20.6
VMC,Climb,Minor,2,0,0,0,190,Runway Incursion,46.0,Medium,Continue Monitoring,14.0
VMC,Taxi,Minor,2,1,0,2,197,Fuel Low,59.0,High,Runway Change,13.1
Rain,Taxi,None,4,1,0,2,231,Cabin Pressure Failure,67.0,High,Emergency Descent,17.7
VMC,Takeoff,Minor,2,1,0,2,61,Fuel Low,72.0,High,Runway Change,20.1
VMC,Landing,Substantial,2,0,0,1,118,Landing Gear Issue,73.5,High,Runway Change,14.9
VMC,Taxi,Minor,3,0,0,3,41,Landing Gear Issue,42.0,Medium,Continue Monitoring,6.4
Windy,Approach,None,2,0,0,2,80,Fuel Low,61.0,High,Runway Change,12.1
Rain,Cruise,Minor,2,0,0,1,146,Engine Failure,71.5,High,Holding Pattern,17.8
VMC,Taxi,Substantial,2,0,0,1,50,Bird Strike,63.5,High,Runway Change,15.2
VMC,Approach,Substantial,2,0,2,1,122,Near Collision,98.5,Critical,Priority Landing,23.0
IMC,Takeoff,None,2,1,0,2,235,Runway Incursion,65.0,High,Runway Change,19.4
VMC,Climb,None,2,0,0,2,36,Engine Failure,52.0,Medium,Continue Monitoring,15.0
IMC,Landing,None,2,0,0,2,73,Engine Failure,73.0,High,Runway Change,21.4
VMC,Cruise,None,2,0,2,3,84,Medical Emergency,40.5,Medium,Continue Monitoring,12.4
Windy,Climb,Destroyed,2,1,0,2,229,Runway Incursion,100.0,Critical,Priority Landing,24.9
VMC,Landing,None,3,0,0,0,188,Runway Incursion,40.5,Medium,Continue Monitoring,10.0
Rain,Takeoff,Minor,4,0,0,0,62,Engine Failure,77.0,High,Runway Change,23.2
VMC,Climb,None,2,0,0,3,181,Landing Gear Issue,38.5,Medium,Continue Monitoring,15.6
Storm,Cruise,None,4,0,1,1,24,Fuel Low,65.5,High,Holding Pattern,21.1
Storm,Takeoff,Destroyed,3,0,1,2,203,Bird Strike,100.0,Critical,Priority Landing,24.0
Rain,Cruise,Minor,1,0,0,1,71,Fuel Low,66.0,High,Holding Pattern,18.0
IMC,Taxi,None,2,0,2,2,183,Runway Incursion,51.0,Medium,Continue Monitoring,13.9
VMC,Taxi,None,2,0,2,2,133,Fuel Low,46.0,Medium,Continue Monitoring,10.8
Fog,Taxi,Destroyed,2,0,0,1,188,Near Collision,100.0,Critical,Priority Landing,24.5
Rain,Climb,Destroyed,2,0,0,2,100,Bird Strike,100.0,Critical,Priority Landing,26.8
VMC,Takeoff,None,2,0,1,1,142,Engine Failure,60.5,High,Runway Change,14.0
IMC,Landing,Minor,2,0,0,0,228,Engine Failure,82.0,Critical,Priority Landing,21.2
IMC,Cruise,None,2,0,0,3,204,Medical Emergency,45.5,Medium,Continue Monitoring,16.5
Fog,Landing,Minor,2,0,0,0,145,Engine Failure,86.0,Critical,Priority Landing,21.1
Rain,Takeoff,None,4,0,1,1,232,Cabin Pressure Failure,73.5,High,Emergency Descent,17.1
Rain,Landing,Substantial,4,0,0,2,47,Runway Incursion,85.0,Critical,Priority Landing,18.9
Rain,Approach,Substantial,2,0,0,1,181,Cabin Pressure Failure,99.5,Critical,Priority Landing,24.2
VMC,Taxi,None,2,0,1,1,163,Medical Emergency,30.5,Medium,Continue Monitoring,8.2
VMC,Takeoff,Minor,1,0,0,3,79,Bird Strike,63.0,High,Runway Change,17.5
VMC,Cruise,None,2,0,0,1,109,Bird Strike,36.5,Medium,Continue Monitoring,14.1
Fog,Taxi,None,2,0,0,0,113,Engine Failure,59.0,High,Runway Change,18.6
VMC,Cruise,None,2,0,0,1,176,Engine Failure,46.5,Medium,Continue Monitoring,11.4
VMC,Approach,None,4,0,0,0,163,Cabin Pressure Failure,52.0,Medium,Emergency Descent,10.8
VMC,Takeoff,Destroyed,2,0,1,0,200,Fuel Low,97.0,Critical,Priority Landing,22.9
VMC,Landing,None,2,0,0,1,171,Near Collision,65.5,High,Go Around,18.6
IMC,Climb,Substantial,2,0,0,1,246,Fuel Low,86.5,Critical,Priority Landing,27.0
VMC,Approach,None,2,0,0,0,210,Fuel Low,45.0,Medium,Continue Monitoring,13.6
VMC,Taxi,Minor,2,0,0,1,152,Medical Emergency,38.5,Medium,Continue Monitoring,10.1
Fog,Approach,Minor,2,0,0,1,24,Fuel Low,75.5,High,Runway Change,20.8
VMC,Cruise,Substantial,1,0,0,1,104,Engine Failure,78.0,High,Holding Pattern,19.7
VMC,Climb,None,3,0,0,2,49,Engine Failure,50.5,Medium,Continue Monitoring,18.0
VMC,Cruise,None,1,0,1,1,119,Landing Gear Issue,37.0,Medium,Continue Monitoring,14.3
Fog,Taxi,Minor,2,0,0,2,248,Engine Failure,74.0,High,Runway Change,20.9
VMC,Climb,Minor,4,0,1,1,112,Fuel Low,56.5,High,Holding Pattern,16.5
Fog,Approach,Minor,2,0,1,2,207,Medical Emergency,71.0,High,Runway Change,21.9
Windy,Cruise,None,1,0,0,2,123,Medical Emergency,45.5,Medium,Continue Monitoring,15.8
Rain,Climb,None,2,0,1,1,152,Near Collision,74.5,High,Go Around,18.7
VMC,Landing,Substantial,2,0,1,1,26,Near Collision,99.5,Critical,Priority Landing,25.3
Rain,Cruise,Minor,1,1,0,2,178,Cabin Pressure Failure,86.5,Critical,Priority Landing,23.1
IMC,Climb,Minor,1,0,0,2,76,Fuel Low,71.5,High,Holding Pattern,23.9
VMC,Approach,None,1,0,0,0,125,Landing Gear Issue,38.5,Medium,Continue Monitoring,13.9
IMC,Landing,None,2,1,0,1,247,Engine Failure,80.5,Critical,Priority Landing,24.5
VMC,Taxi,Substantial,2,0,1,1,71,Fuel Low,70.5,High,Runway Change,16.5
VMC,Approach,Minor,2,0,1,1,233,Medical Emergency,52.5,Medium,Continue Monitoring,14.5
VMC,Approach,None,4,0,0,1,210,Fuel Low,43.5,Medium,Continue Monitoring,9.7
VMC,Landing,Substantial,1,0,0,5,31,Cabin Pressure Failure,99.0,Critical,Priority Landing,20.5
VMC,Climb,Minor,2,0,0,0,104,Engine Failure,61.0,High,Holding Pattern,13.5
IMC,Climb,None,1,0,0,0,245,Runway Incursion,48.5,Medium,Continue Monitoring,22.2
Windy,Cruise,None,2,0,2,0,124,Bird Strike,56.0,High,Holding Pattern,13.3
VMC,Approach,Minor,2,0,0,4,202,Fuel Low,63.0,High,Runway Change,16.7
Rain,Approach,None,2,0,0,1,231,Cabin Pressure Failure,69.5,High,Emergency Descent,14.8
IMC,Takeoff,Minor,2,0,0,2,20,Landing Gear Issue,68.0,High,Runway Change,18.3
VMC,Landing,Minor,2,0,1,0,188,Cabin Pressure Failure,76.0,High,Emergency Descent,17.3
VMC,Cruise,None,2,1,0,4,230,Cabin Pressure Failure,63.0,High,Emergency Descent,18.9
VMC,Taxi,Substantial,3,1,0,5,152,Bird Strike,77.0,High,Runway Change,19.1
VMC,Landing,None,2,0,3,2,240,Near Collision,79.0,High,Go Around,21.8
VMC,Taxi,None,2,0,0,2,180,Cabin Pressure Failure,48.0,Medium,Emergency Descent,13.4
VMC,Approach,Minor,4,0,0,1,164,Engine Failure,62.5,High,Runway Change,17.0
IMC,Approach,Minor,2,0,1,0,48,Medical Emergency,64.0,High,Runway Change,18.3
VMC,Climb,None,2,0,1,1,201,Landing Gear Issue,39.5,Medium,Continue Monitoring,15.5
VMC,Cruise,Minor,2,0,0,2,216,Runway Incursion,45.0,Medium,Continue Monitoring,15.4
VMC,Taxi,Substantial,2,0,0,0,96,Bird Strike,62.0,High,Runway Change,14.2
IMC,Cruise,Substantial,2,1,0,3,56,Near Collision,100.0,Critical,Priority Landing,28.8
VMC,Takeoff,Substantial,1,0,2,0,151,Fuel Low,87.5,Critical,Priority Landing,19.6
IMC,Climb,None,2,0,0,1,235,Runway Incursion,48.5,Medium,Continue Monitoring,20.1
VMC,Approach,None,2,0,1,1,188,Cabin Pressure Failure,60.5,High,Emergency Descent,15.7
VMC,Approach,Minor,2,0,1,1,206,Fuel Low,62.5,High,Runway Change,14.2
Windy,Taxi,None,2,0,0,2,149,Landing Gear Issue,43.0,Medium,Continue Monitoring,10.3
VMC,Taxi,Substantial,4,0,0,2,116,Bird Strike,62.0,High,Runway Change,16.7
VMC,Approach,None,4,1,0,0,90,Fuel Low,51.0,Medium,Continue Monitoring,9.8
VMC,Approach,None,2,0,0,2,205,Landing Gear Issue,40.0,Medium,Continue Monitoring,10.0
Storm,Landing,None,1,0,1,0,169,Bird Strike,77.5,High,Runway Change,25.1
Rain,Takeoff,None,2,0,0,0,192,Bird Strike,58.0,High,Runway Change,9.0
Rain,Approach,None,2,0,0,1,212,Landing Gear Issue,51.5,Medium,Continue Monitoring,11.9
Storm,Cruise,Minor,2,0,1,1,245,Medical Emergency,70.5,High,Holding Pattern,25.1
VMC,Landing,Minor,2,0,0,2,212,Runway Incursion,57.0,High,Runway Change,11.0
Storm,Landing,None,2,1,1,1,122,Engine Failure,96.5,Critical,Priority Landing,30.6
VMC,Approach,None,2,1,0,1,50,Near Collision,69.5,High,Go Around,11.3
Rain,Approach,Substantial,2,0,0,2,148,Engine Failure,98.0,Critical,Priority Landing,24.5
VMC,Landing,None,3,0,0,2,122,Medical Emergency,41.5,Medium,Continue Monitoring,14.6
VMC,Approach,Minor,2,0,4,2,235,Bird Strike,73.0,High,Runway Change,19.0
Windy,Climb,Minor,2,1,0,0,28,Medical Emergency,66.0,High,Holding Pattern,18.4
VMC,Climb,Minor,2,0,1,1,216,Medical Emergency,49.5,Medium,Continue Monitoring,16.6
Storm,Landing,Substantial,2,0,1,3,165,Landing Gear Issue,100.0,Critical,Priority Landing,24.2
VMC,Approach,Minor,2,0,0,1,36,Near Collision,72.5,High,Go Around,18.7
Rain,Climb,Destroyed,2,0,1,1,75,Engine Failure,100.0,Critical,Priority Landing,22.8
Storm,Taxi,Substantial,2,0,1,1,34,Medical Emergency,85.5,Critical,Priority Landing,22.8
VMC,Taxi,None,2,0,0,3,233,Runway Incursion,31.5,Medium,Continue Monitoring,11.7
Windy,Approach,None,1,0,0,0,168,Medical Emergency,49.5,Medium,Continue Monitoring,10.7
IMC,Climb,None,4,0,1,0,162,Cabin Pressure Failure,66.0,High,Emergency Descent,22.2
Rain,Taxi,None,2,0,1,1,139,Cabin Pressure Failure,63.5,High,Emergency Descent,15.8
VMC,Climb,Minor,2,0,0,1,112,Landing Gear Issue,47.5,Medium,Continue Monitoring,12.9
IMC,Cruise,None,2,0,1,0,59,Near Collision,69.0,High,Go Around,25.7
Rain,Taxi,None,2,0,0,0,188,Cabin Pressure Failure,58.0,High,Emergency Descent,15.1
IMC,Approach,None,2,0,0,1,50,Landing Gear Issue,51.5,Medium,Continue Monitoring,14.2
VMC,Climb,Minor,2,0,1,0,67,Fuel Low,58.0,High,Holding Pattern,17.3
VMC,Takeoff,Minor,2,0,0,1,244,Runway Incursion,53.5,Medium,Continue Monitoring,12.1
Windy,Cruise,Destroyed,4,0,1,2,41,Runway Incursion,92.0,Critical,Priority Landing,22.2
VMC,Landing,None,2,0,0,0,238,Fuel Low,50.0,Medium,Continue Monitoring,13.2
Rain,Landing,None,2,1,0,0,40,Landing Gear Issue,64.0,High,Runway Change,14.1
Storm,Climb,Destroyed,2,0,0,0,131,Fuel Low,100.0,Critical,Priority Landing,30.9
VMC,Takeoff,Minor,2,1,1,2,154,Landing Gear Issue,68.0,High,Runway Change,14.8
VMC,Landing,Minor,2,0,2,1,46,Engine Failure,78.5,High,Runway Change,20.1
Rain,Takeoff,Minor,2,0,0,1,224,Fuel Low,74.5,High,Runway Change,17.3
VMC,Takeoff,None,1,0,1,2,240,Fuel Low,56.5,High,Runway Change,15.9
IMC,Cruise,Substantial,2,1,1,1,71,Fuel Low,95.5,Critical,Priority Landing,27.1
Rain,Approach,Minor,2,1,1,0,70,Medical Emergency,73.0,High,Runway Change,16.1
IMC,Climb,Minor,4,0,1,0,194,Runway Incursion,60.0,High,Holding Pattern,19.5
VMC,Climb,Minor,2,0,0,0,105,Medical Emergency,44.0,Medium,Continue Monitoring,16.1
Rain,Climb,None,2,2,1,0,28,Cabin Pressure Failure,87.0,Critical,Priority Landing,24.5
IMC,Cruise,None,2,0,0,1,192,Engine Failure,59.5,High,Holding Pattern,25.9
VMC,Takeoff,Substantial,2,0,0,1,101,Engine Failure,86.5,Critical,Priority Landing,22.2
IMC,Takeoff,Minor,4,0,2,0,113,Medical Emergency,68.0,High,Runway Change,20.7
Windy,Cruise,None,4,0,0,0,170,Bird Strike,45.0,Medium,Continue Monitoring,14.7
Rain,Takeoff,None,3,1,0,0,152,Engine Failure,75.5,High,Runway Change,18.4
IMC,Climb,Substantial,3,0,0,1,210,Engine Failure,92.0,Critical,Priority Landing,27.5
VMC,Approach,None,2,1,0,0,203,Fuel Low,54.0,Medium,Continue Monitoring,16.6
VMC,Takeoff,None,2,0,0,2,236,Bird Strike,48.0,Medium,Continue Monitoring,14.5
VMC,Approach,Minor,2,0,1,2,231,Bird Strike,61.0,High,Runway Change,13.3
VMC,Approach,Substantial,2,0,0,3,165,Fuel Low,79.5,High,Runway Change,16.9
Storm,Approach,Minor,2,0,1,2,148,Fuel Low,89.0,Critical,Priority Landing,26.8
VMC,Approach,Substantial,2,0,1,3,126,Landing Gear Issue,75.5,High,Runway Change,18.2
